2021-09-22 10:09:49,646 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent left_wrist_roll_link to child left_index_link failed
2021-09-22 10:09:52,194 INFO  ExportHelperExtension.cs: 347 - Creating joint left_middle_link
2021-09-22 10:09:52,372 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent left_wrist_roll_link to child left_middle_link failed
2021-09-22 10:09:54,931 INFO  ExportHelperExtension.cs: 347 - Creating joint left_ring_link
2021-09-22 10:09:55,122 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent left_wrist_roll_link to child left_ring_link failed
2021-09-22 10:09:57,688 INFO  ExportHelperExtension.cs: 347 - Creating joint left_pinky_link
2021-09-22 10:09:57,871 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent left_wrist_roll_link to child left_pinky_link failed
2021-09-22 10:10:00,387 INFO  ExportHelperExtension.cs: 347 - Creating joint imu_left_elbow_pitch
2021-09-22 10:10:00,388 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent left_elbow_yaw_link to child imu_left_elbow_pitch failed
2021-09-22 10:10:00,480 INFO  ExportHelperExtension.cs: 347 - Creating joint imu_left_elbow_yaw
2021-09-22 10:10:00,587 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent left_shoulder_roll_link to child imu_left_elbow_yaw failed
2021-09-22 10:10:00,682 INFO  ExportHelperExtension.cs: 347 - Creating joint imu_left_shoulder_roll
2021-09-22 10:10:00,761 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent left_shoulder_pitch_link to child imu_left_shoulder_roll failed
2021-09-22 10:10:00,839 INFO  ExportHelperExtension.cs: 347 - Creating joint right_shoulder_pitch_link
2021-09-22 10:10:01,019 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent lumbar_roll_link to child right_shoulder_pitch_link failed
2021-09-22 10:10:01,442 INFO  ExportHelperExtension.cs: 347 - Creating joint right_shoulder_roll_link
2021-09-22 10:10:01,633 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent right_shoulder_pitch_link to child right_shoulder_roll_link failed
2021-09-22 10:10:02,276 INFO  ExportHelperExtension.cs: 347 - Creating joint right_elbow_yaw_link
2021-09-22 10:10:02,460 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent right_shoulder_roll_link to child right_elbow_yaw_link failed
2021-09-22 10:10:03,051 INFO  ExportHelperExtension.cs: 347 - Creating joint right_elbow_pitch_link
2021-09-22 10:10:03,235 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent right_elbow_yaw_link to child right_elbow_pitch_link failed
2021-09-22 10:10:03,902 INFO  ExportHelperExtension.cs: 347 - Creating joint right_wrist_yaw_link
2021-09-22 10:10:04,083 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent right_elbow_pitch_link to child right_wrist_yaw_link failed
2021-09-22 10:10:04,547 INFO  ExportHelperExtension.cs: 347 - Creating joint right_wrist_pitch_link
