#{"t_start": 1700619154.3018732, "env_id": "None"}
r,l,t--172.158749,102,6.110613
-197.562883,102,6.65222
-105.473379,102,7.18122
-131.933683,102,7.701848
-118.033619,102,8.227848
-304.836901,102,8.775415
-195.068845,102,9.308415
-189.879027,102,9.835958
-144.304166,102,10.3-446.-235.765277,102,13.542-332.60-138.52112,102,17.147826
-117.2625,102,17.659447
-103.367833,102,18.17492
-135.761618,102,18.688555
-113.909629,102,19.205554
-109.172717,102,19.720191
-234.462818,102,20.249191
-110.439918,102,20.758783
-197.996525,102,21.285-813.659935,102,24.604702
-358.-316.041223,102,28.10757
-249.772912,102,28.618196
-237.612798,102,29.130196
-256.925512,102,29.639825
-236.391678,102,30.149824
-236.73752,102,30.662448
-252.367343,102,31.173448
-235.51202,102,31.705041
-257.790452,102,32.21504-339.152892,102,35.58555
-165-248.381542,102,38.895437
-241.352663,102,39.415057
-524.438145,102,39.935058
-229.576321,102,40.452691
-205.449856,102,40.972695
-241.130405,102,41.494292
-216.38857,102,42.016294
-242.527654,102,42.534855
-194.881821,102,43.05-147.070925-302.098748,102,-244.-336.921533,102,50.069023
-261.925402,102,50.627092
-647.936543,102,51.202093
-618.368491,102,51.764732
-317.995549,102,52.317727
-317.7315,102,52.877345
-291.655414,102,53.437945
-404.600194,102,54.001948
-326.138462,102,54.55-98.162632,102,58.213489
-689.0-510.272482,102,61.58007
-472.764599,102,62.155069
-338.7676,102,62.725664
-431.102326,102,63.293254
-315.610573,102,63.8548
-310.160991,102,64.425364
-416.759824,102,64.989365
-492.646606,102,65.553899-176.968934,102,69.323721
-217.824391,102,69.92126
-6-440.391835,102,73.210504
-316.593409,102,73.730046
-629.800734,102,74.305047
-489.593334,102,74.837614
-500.862201,102,75.381222
-562.483807,102,75.92222
-418.683569,102,76.457858
-538.020311,102,77.007857-778.937506,102,80.865371
-203.562419,102,81.459372
--238.398601,102,84.578434
-520.172416,102,85.118433
-477.616344,102,85.658519
-613.997922,102,86.205519
-691.968379,102,86.767059
-398.307368,102,87.301059
-167.699125,102,87.820642
-465.289146,102,88.356294-838.174996,102,92.297116
-104.684394,102,92.881669
-6-299.635826,102,95.969067
-280.285368,102,96.498628
-264.360294,102,97.041628
-315.05785,102,97.569248
-316.203154,102,98.098247
-323.726144,102,98.617886
-333.501413,102,99.138889
-271.054739,102,99.6555-389.382768,102,103.639332
-220.058288,102,104.221209
-2-291.371151,102,107.004029
-259.856081,102,107.525738
-276.239312,102,108.03973
-284.775993,102,108.559385
-250.822666,102,109.083381
-274.557835,102,109.602021
-243.740943,102,110.118021
-254.71581,102,110.633642-119.503499,102,114.75756
-562.269262,102,115.353104
-4-149.528299,102,118.11427
-168.749566,102,118.630892
-161.703533,102,119.144889
-153.233423,102,119.659508
-178.946059,102,120.175508
-136.1895,102,120.689611
-142.476692,102,121.204612-235.315294,102,125.375132
-279.456467,102,125.962765
-179.1593,102,126.556992
--166.492211,102,129.118589
-139.256503,102,129.6402
-127.399558,102,130.162199
-173.348877,102,130.685766
-124.656659,102,131.205766
-169.381724,102,131.727387
-135.015216,102,132.2453-216.58017,102,136.541703
-394.829322,102,137.13272
-164.895292,102,137.729968
-147.-35.822713,102,140.18357
38.712724,102,140.693194
