reward/env_0,reward/env_1,time/total_timesteps,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance
,,38000,-67.98953009999998,0.1,96.8,,,,,,,,,,,
-264.93971363228167,,,,,,,,,,,,,,,,
,128.72273079966558,,,,,,,,,,,,,,,
-442.92083970024595,,,,,,,,,,,,,,,,
,-309.6374877219026,,,,,,,,,,,,,,,
,,40000,-195.39580039999998,0.0,98.2,,,,,,,,,,,
-272.0197437820572,,,,,,,,,,,,,,,,
,-427.4701492330112,,,,,,,,,,,,,,,
-413.14572534169776,,,,,,6083.60068359375,0.0003,-8.491181230545044,0.9947999119758606,2810.641845703125,-0.0038631761795841157,0.2,0.0294189453125,100,0.008644422,0.00020205974578857422
,-436.9088438099334,,,,,,,,,,,,,,,
,,42000,-215.83425699999998,0.0,100.9,,,,,,,,,,,
55.03239784491384,,,,,,,,,,,,,,,,
,-319.3151039936452,,,,,,,,,,,,,,,
-318.64579839195096,,,,,,,,,,,,,,,,
,-334.56257376926993,,,,,,,,,,,,,,,
,,44000,-188.0925832,0.0,95.9,,,,,,,,,,,
-174.78447723552625,,,,,,,,,,,,,,,,
,-274.86837746993285,,,,,,,,,,,,,,,
-194.28192953803406,,,,,,7516.387353515625,0.0003,-8.478187227249146,0.993807315826416,3350.1396484375,-0.0026819834019988775,0.2,0.01572265625,110,0.0061354223,-0.0008776187896728516
,-411.22054814571464,,,,,,,,,,,,,,,
,,46000,-197.4162443,0.0,96.8,,,,,,,,,,,
-360.07391586869574,,,,,,,,,,,,,,,,
,-216.88469933540478,,,,,,,,,,,,,,,
-214.04038712621013,,,,,,,,,,,,,,,,
,-404.89333756323884,,,,,,,,,,,,,,,
,,48000,-18.58538379999999,0.1,86.9,,,,,,,,,,,
-428.3520060451888,,,,,,,,,,,,,,,,
,-386.1728583581697,,,,,,,,,,,,,,,
-336.3925990409357,,,,,,5759.8265625,0.0003,-8.471710109710694,0.991936445236206,2913.891845703125,-0.0019308627466671168,0.2,0.00224609375,120,0.0035269803,3.9696693420410156e-05
,-362.7424605448866,,,,,,,,,,,,,,,
,,50000,-103.4148866,0.0,86.9,,,,,,,,,,,
-385.09592119518277,,,,,,,,,,,,,,,,
,-549.8400317202866,,,,,,,,,,,,,,,
-176.88075623078743,,,,,,,,,,,,,,,,
,-267.16842678521635,,,,,,,,,,,,,,,
,,52000,-17.043244600000016,0.1,92.0,,,,,,,,,,,
-501.08847502429734,,,,,,,,,,,,,,,,
,-177.77069279742162,,,,,,,,,,,,,,,
-200.63521799195445,,,,,,7202.1492919921875,0.0003,-8.461106443405152,0.9910215735435486,3486.24169921875,-0.0015578335849568247,0.2,0.002587890625,130,0.0032567522,-0.00047028064727783203
,-199.74268000861525,,,,,,,,,,,,,,,
,,54000,-154.4407955,0.0,94.1,,,,,,,,,,,
-276.6217779427132,,,,,,,,,,,,,,,,
,-370.52262012501285,,,,,,,,,,,,,,,
-222.14191863746424,,,,,,,,,,,,,,,,
,,56000,71.8295595,0.1,81.7,,,,,,,,,,,
,-240.64362005847806,,,,,,,,,,,,,,,
-435.378011398149,,,,,,,,,,,,,,,,
,-150.30180268970034,,,,,,,,,,,,,,,
-328.3139875332223,,,,,,4106.86162109375,0.0003,-8.460515069961549,0.9915563464164734,2149.39111328125,-0.002778002613922581,0.2,0.0086669921875,140,0.005474383,-0.0001875162124633789
,,58000,-232.14704439999997,0.0,88.9,,,,,,,,,,,
,-339.15680600504794,,,,,,,,,,,,,,,
-273.2010669846012,,,,,,,,,,,,,,,,
,-206.97044308557196,,,,,,,,,,,,,,,
-160.72214036881888,,,,,,,,,,,,,,,,
,,60000,-104.88196620000001,0.0,83.0,,,,,,,,,,,
,-540.5453558133761,,,,,,,,,,,,,,,
-266.4697598051663,,,,,,,,,,,,,,,,
,-276.9554073515107,,,,,,,,,,,,,,,
,,62000,-264.19647119999996,0.0,86.5,4683.02509765625,0.0003,-8.46305022239685,0.9915624260902405,2417.859619140625,-0.0020784278865903618,0.2,0.0123046875,150,0.005351428,-0.0010652542114257812
-220.82608390501954,,,,,,,,,,,,,,,,
,-204.0588540134305,,,,,,,,,,,,,,,
-188.64582448245113,,,,,,,,,,,,,,,,
,-413.32251327858864,,,,,,,,,,,,,,,
