reward/env_0,reward/env_1,time/total_timesteps,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance
118.14304212924883,,,,,,,,,,,,,,,,
,134.71861984059396,,,,,18984.2982421875,0.0003,-8.269920110702515,0.9609598517417908,10709.740234375,-0.0019274190999567509,0.2,0.0112548828125,390,0.005318961,-5.996227264404297e-05
-80.12067692945655,,,,,,,,,,,,,,,,
,,160000,61.34394860000002,0.1,78.9,,,,,,,,,,,
,-279.3311112125456,,,,,,,,,,,,,,,
-324.05683012276756,,,,,,,,,,,,,,,,
198.05238761061827,,,,,,,,,,,,,,,,
,28.159776706147774,,,,,,,,,,,,,,,
,,162000,420.49478149999993,0.4,57.8,,,,,,,,,,,
-24.131614602896747,,,,,,,,,,,,,,,,
,290.26680624372955,,,,,,,,,,,,,,,
36.68266639170232,,,,,,,,,,,,,,,,
,-206.71415448147823,,,,,,,,,,,,,,,
349.9702822168165,,,,,,31457.5482421875,0.0003,-8.259884214401245,0.957358181476593,16819.17578125,-0.004047735303174704,0.2,0.0830322265625,400,0.0022669192,7.212162017822266e-06
,,164000,631.5281127999999,0.5,55.5,,,,,,,,,,,
,609.1764763460944,,,,,,,,,,,,,,,
858.9732940827791,,,,,,,,,,,,,,,,
,-140.01755333700856,,,,,,,,,,,,,,,
-26.811395701881146,,,,,,,,,,,,,,,,
,,166000,517.4973723999999,0.4,61.5,,,,,,,,,,,
,-97.49099436829542,,,,,,,,,,,,,,,
5.339273668773709,,,,,,,,,,,,,,,,
,-14.778771198682875,,,,,,,,,,,,,,,
-38.333375454608415,,,,,,,,,,,,,,,,
,215.3571967786019,,,,,,,,,,,,,,,
,,168000,320.1826403,0.2,57.7,30585.06171875,0.0003,-8.239454650878907,0.9557743668556213,15720.880859375,-0.0013854146818630397,0.2,0.00166015625,410,0.0031747841,-4.38690185546875e-05
-19.314303672375573,,,,,,,,,,,,,,,,
,-277.0164360135643,,,,,,,,,,,,,,,
618.9422851126772,,,,,,,,,,,,,,,,
,54.18755844502398,,,,,,,,,,,,,,,
274.24934158064445,,,,,,,,,,,,,,,,
,,170000,198.82860349999996,0.1,55.1,,,,,,,,,,,
,-423.670161607747,,,,,,,,,,,,,,,
27.305912018400797,,,,,,,,,,,,,,,,
,-90.29418183922623,,,,,,,,,,,,,,,
-15.4979741650286,,,,,,,,,,,,,,,,
,,172000,512.7578704,0.4,61.5,,,,,,,,,,,
,-126.97336673145851,,,,,26996.871875,0.0003,-8.236189317703246,0.9557655453681946,14088.46875,-0.0013622613856568932,0.2,0.0016357421875,420,0.0031820163,0.00022584199905395508
382.09616238632105,,,,,,,,,,,,,,,,
238.84080500220398,,,,,,,,,,,,,,,,
,-69.94055359657396,,,,,,,,,,,,,,,
,618.2280711391029,,,,,,,,,,,,,,,
-59.53498986758173,,,,,,,,,,,,,,,,
,,174000,143.35302989999997,0.1,56.6,,,,,,,,,,,
446.8624507115827,,,,,,,,,,,,,,,,
,140.25041855250163,,,,,,,,,,,,,,,
84.35889797381729,,,,,,,,,,,,,,,,
,638.2743003909491,,,,,,,,,,,,,,,
,,176000,32.9617117,0.0,63.6,,,,,,,,,,,
147.6311657733639,,,,,,35785.296875,0.0003,-8.236130380630494,0.955735981464386,17153.15234375,-0.00017760852351784707,0.2,0.0,430,0.0010615014,0.00027549266815185547
,374.4832814214195,,,,,,,,,,,,,,,
-102.86236055947056,,,,,,,,,,,,,,,,
,430.90788769774474,,,,,,,,,,,,,,,
223.69750804209897,,,,,,,,,,,,,,,,
,167.6411577785317,,,,,,,,,,,,,,,
,,178000,146.6261689,0.1,57.3,,,,,,,,,,,
192.40096434134685,,,,,,,,,,,,,,,,
,-118.58322907581253,,,,,,,,,,,,,,,
183.70407765987963,,,,,,,,,,,,,,,,
,115.02531793374003,,,,,,,,,,,,,,,
,,180000,-1.0885924999999994,0.0,64.5,,,,,,,,,,,
-148.04306093550895,,,,,,21040.355859375,0.0003,-8.23604621887207,0.955750048160553,9735.4697265625,-0.0013918357784859837,0.2,0.0,440,0.0013507619,6.592273712158203e-05
,192.7772078314719,,,,,,,,,,,,,,,
78.50023969151562,,,,,,,,,,,,,,,,
,231.40722854520308,,,,,,,,,,,,,,,
,,182000,154.1011449,0.1,60.1,,,,,,,,,,,
364.66671523121107,,,,,,,,,,,,,,,,
,681.8153309646651,,,,,,,,,,,,,,,
100.83903543541405,,,,,,,,,,,,,,,,
,252.41454905344176,,,,,,,,,,,,,,,
,112.66399539941463,,,,,,,,,,,,,,,
-58.33214751425764,,,,,,,,,,,,,,,,
,,184000,165.05748590000002,0.1,54.1,,,,,,,,,,,
,13.901305000107323,,,,,31528.1396484375,0.0003,-8.2358229637146,0.9556307792663574,14973.021484375,-0.0007590520312078297,0.2,0.0,450,0.0011731533,9.465217590332031e-05
154.40325727600052,,,,,,,,,,,,,,,,
,947.3004189219064,,,,,,,,,,,,,,,
-63.49901836023033,,,,,,,,,,,,,,,,
,370.6956437101736,,,,,,,,,,,,,,,
,,186000,285.123406,0.2,51.3,,,,,,,,,,,
-107.47000477658837,,,,,,,,,,,,,,,,
,99.95305583969453,,,,,,,,,,,,,,,
-363.98965063310027,,,,,,,,,,,,,,,,
,611.0074859680622,,,,,,,,,,,,,,,
168.80377591772304,,,,,,,,,,,,,,,,
,,188000,271.7556918,0.2,60.9,,,,,,,,,,,
197.62191839037828,,,,,,33473.78408203125,0.0003,-8.234649229049683,0.9554113745689392,16405.63671875,-0.00028989884885959326,0.2,0.0,460,0.00054172904,4.1544437408447266e-05
,-55.49714330047668,,,,,,,,,,,,,,,
204.58688104720846,,,,,,,,,,,,,,,,
,364.36830729021506,,,,,,,,,,,,,,,
,,190000,506.9474515,0.4,60.7,,,,,,,,,,,
313.2219016194657,,,,,,,,,,,,,,,,
,164.4110934246448,,,,,,,,,,,,,,,
196.0401499238216,,,,,,,,,,,,,,,,
,174.72254271908332,,,,,,,,,,,,,,,
-401.43421826816746,,,,,,,,,,,,,,,,
,,192000,476.20211420000015,0.4,53.8,,,,,,,,,,,
,263.38231351664683,,,,,,,,,,,,,,,
245.18705655983095,,,,,,31531.9380859375,0.0003,-8.233216619491577,0.95517498254776,14606.8681640625,-0.000587711512343958,0.2,0.0,470,0.0006253568,5.066394805908203e-05
,353.14992310252376,,,,,,,,,,,,,,,
205.06579218141528,,,,,,,,,,,,,,,,
,238.96460759957444,,,,,,,,,,,,,,,
,,194000,270.0402202,0.2,69.3,,,,,,,,,,,
364.1486590091743,,,,,,,,,,,,,,,,
,147.9865351724653,,,,,,,,,,,,,,,
469.3393453165928,,,,,,,,,,,,,,,,
,236.63261417811464,,,,,,,,,,,,,,,
154.7519869904695,,,,,,,,,,,,,,,,
,,196000,151.1094745,0.1,55.8,,,,,,,,,,,
,157.6408617044743,,,,,,,,,,,,,,,
408.50918454308413,,,,,,,,,,,,,,,,
,200.2800521039381,,,,,34900.23720703125,0.0003,-8.232020092010497,0.9550461173057556,17385.84765625,-0.00039178229053504765,0.2,0.0,480,0.00061825744,0.0006269216537475586
68.60214458150287,,,,,,,,,,,,,,,,
171.64352725269364,,,,,,,,,,,,,,,,
,,198000,54.3269458,0.0,55.8,,,,,,,,,,,
,344.218441106263,,,,,,,,,,,,,,,
448.98743772094406,,,,,,,,,,,,,,,,
,-141.8564039471948,,,,,,,,,,,,,,,
162.99883020174792,,,,,,,,,,,,,,,,
,175.23299400376393,,,,,,,,,,,,,,,
,,200000,61.95650070000001,0.0,58.8,,,,,,,,,,,
-90.06331075920978,,,,,,,,,,,,,,,,
,28.043767628861087,,,,,,,,,,,,,,,
347.8224745581819,,,,,,23670.57978515625,0.0003,-8.231694650650024,0.9550619125366211,12176.7939453125,-0.0010017621301813052,0.2,0.0,490,0.0011887627,-0.00031507015228271484
,84.33105948413831,,,,,,,,,,,,,,,
,,202000,-50.9326865,0.0,66.3,,,,,,,,,,,
415.3598980279886,,,,,,,,,,,,,,,,
,273.10528159455635,,,,,,,,,,,,,,,
-148.1699543469795,,,,,,,,,,,,,,,,
,202.32372822793474,,,,,,,,,,,,,,,
342.24682725879603,,,,,,,,,,,,,,,,
,-137.4560583070616,,,,,,,,,,,,,,,
,,204000,3.8672169999999992,0.0,62.6,,,,,,,,,,,
176.0097287721615,,,,,,,,,,,,,,,,
,-206.94968502032097,,,,,,,,,,,,,,,
255.30576355288662,,,,,,28622.02421875,0.0003,-8.231394910812378,0.9548637270927429,15065.9453125,-0.001125228777527809,0.2,0.0007568359375,500,0.0025306991,-0.00044858455657958984
,447.95435553559184,,,,,,,,,,,,,,,
,,206000,88.2126736,0.1,61.0,,,,,,,,,,,
449.4364138416816,,,,,,,,,,,,,,,,
,-3.878189506549276,,,,,,,,,,,,,,,
173.238843997607,,,,,,,,,,,,,,,,
,142.98010930232402,,,,,,,,,,,,,,,
,-56.3122445046979,,,,,,,,,,,,,,,
-155.28719859762356,,,,,,,,,,,,,,,,
,,208000,-31.997444799999993,0.0,67.5,,,,,,,,,,,
,470.29122827422214,,,,,,,,,,,,,,,
397.448465050772,,,,,,,,,,,,,,,,
,-41.60979934824509,,,,,30392.2078125,0.0003,-8.230435991287232,0.9549514651298523,13983.3896484375,-0.0006211532861925661,0.2,9.765625e-05,510,0.0015656673,0.0005508065223693848
135.65918004875545,,,,,,,,,,,,,,,,
,143.94604860909854,,,,,,,,,,,,,,,
199.17656587035074,,,,,,,,,,,,,,,,
,,210000,8.75466680000001,0.1,75.5,,,,,,,,,,,
,-110.94770438777634,,,,,,,,,,,,,,,
439.97917439198034,,,,,,,,,,,,,,,,
,508.8650047987479,,,,,,,,,,,,,,,
238.72708705411304,,,,,,,,,,,,,,,,
,,212000,-142.49108139999998,0.0,77.0,,,,,,,,,,,
,9.711522528727837,,,,,,,,,,,,,,,
-136.45360293331984,,,,,,,,,,,,,,,,
,221.93550962203912,,,,,,,,,,,,,,,
32.123368998187,,,,,,,,,,,,,,,,
467.2473143278147,,,,,,26875.2431640625,0.0003,-8.231743764877319,0.9551854729652405,13479.599609375,-0.0005261374637484551,0.2,0.0,520,0.0006296967,6.604194641113281e-05
,427.2778114458082,,,,,,,,,,,,,,,
,,214000,-67.6363739,0.0,68.6,,,,,,,,,,,
-99.89975785993094,,,,,,,,,,,,,,,,
,-128.44823736086934,,,,,,,,,,,,,,,
-70.08020963094735,,,,,,,,,,,,,,,,
,142.96774603245495,,,,,,,,,,,,,,,
345.26808606203537,,,,,,,,,,,,,,,,
,178.64013852469438,,,,,,,,,,,,,,,
,,216000,71.363449,0.1,57.4,,,,,,,,,,,
143.70387150590145,,,,,,,,,,,,,,,,
,617.5379062563873,,,,,,,,,,,,,,,
,3.6148807573783954,,,,,29070.4666015625,0.0003,-8.233100843429565,0.9554110169410706,13523.6455078125,-0.0006412279384676367,0.2,0.0,530,0.0008284425,1.7940998077392578e-05
-58.291601136502116,,,,,,,,,,,,,,,,
,,218000,377.11107380000004,0.3,62.0,,,,,,,,,,,
,341.38552303906465,,,,,,,,,,,,,,,
184.4051025140221,,,,,,,,,,,,,,,,
,53.75640145184353,,,,,,,,,,,,,,,
-20.171555088669507,,,,,,,,,,,,,,,,
,194.4210763039219,,,,,,,,,,,,,,,
390.61013655759797,,,,,,,,,,,,,,,,
,,220000,38.615165,0.0,62.7,,,,,,,,,,,
185.53053449442018,,,,,,,,,,,,,,,,
,-203.24425285846158,,,,,,,,,,,,,,,
185.78894675474095,,,,,,,,,,,,,,,,
,-47.739380424289244,,,,,20788.91875,0.0003,-8.232302141189574,0.9546495079994202,11695.583984375,-0.000599911535391584,0.2,2.44140625e-05,540,0.0015919956,0.0012570619583129883
-44.41474811967577,,,,,,,,,,,,,,,,
,,222000,-2.490291500000027,0.1,69.6,,,,,,,,,,,
,256.46224624474263,,,,,,,,,,,,,,,
371.248461519978,,,,,,,,,,,,,,,,
,-44.58427934237973,,,,,,,,,,,,,,,
4.882424974785022,,,,,,,,,,,,,,,,
,-83.97067671604655,,,,,,,,,,,,,,,
,,224000,4.0759106,0.0,66.4,,,,,,,,,,,
285.4739335308874,,,,,,,,,,,,,,,,
,-34.78611318119326,,,,,,,,,,,,,,,
246.41353203044696,,,,,,,,,,,,,,,,
407.41657079692607,,,,,,17665.63876953125,0.0003,-8.226267194747924,0.9539074897766113,9408.0126953125,-0.0006411110865883529,0.2,0.0001708984375,550,0.0019501143,0.000537872314453125
,-0.016837646235592273,,,,,,,,,,,,,,,
,,226000,-92.5139422,0.0,69.1,,,,,,,,,,,
-132.9510926233556,,,,,,,,,,,,,,,,
,483.33010878026505,,,,,,,,,,,,,,,
11.759585749045979,,,,,,,,,,,,,,,,
,258.0285095506338,,,,,,,,,,,,,,,
,112.38103073952391,,,,,,,,,,,,,,,
422.25180941908786,,,,,,,,,,,,,,,,
,,228000,-75.9579555,0.0,66.8,,,,,,,,,,,
,90.40843863817138,,,,,,,,,,,,,,,
170.01004405845768,,,,,,,,,,,,,,,,
,219.02965282829246,,,,,,,,,,,,,,,
266.53735514372477,,,,,,,,,,,,,,,,
,132.18705919549842,,,,,24522.64375,0.0003,-8.223473072052002,0.9537222385406494,11437.1806640625,-0.0010324321629013866,0.2,0.000146484375,560,0.0017390336,0.00038045644760131836
,,230000,-23.1243117,0.0,67.9,,,,,,,,,,,
397.6599295682778,,,,,,,,,,,,,,,,
,224.83734235781898,,,,,,,,,,,,,,,
-215.2619495926324,,,,,,,,,,,,,,,,
,-69.58885810122811,,,,,,,,,,,,,,,
95.52349274394606,,,,,,,,,,,,,,,,
,,232000,-204.92291260000002,0.0,74.1,,,,,,,,,,,
,21.732889569456805,,,,,,,,,,,,,,,
-24.96538171773534,,,,,,,,,,,,,,,,
,-259.1195335509671,,,,,,,,,,,,,,,
213.8037555728998,,,,,,,,,,,,,,,,
,131.1019257604011,,,,,29563.99306640625,0.0003,-8.223397970199585,0.953876256942749,15038.658203125,-0.0031184584717266262,0.2,0.0820068359375,570,0.0026730988,0.00047147274017333984
,,234000,-141.09664299999997,0.0,67.4,,,,,,,,,,,
229.93420374134922,,,,,,,,,,,,,,,,
,204.58533602310587,,,,,,,,,,,,,,,
248.42571931159165,,,,,,,,,,,,,,,,
,222.40398820237033,,,,,,,,,,,,,,,
643.5785518244203,,,,,,,,,,,,,,,,
,423.2674019517097,,,,,,,,,,,,,,,
,,236000,102.5007828,0.1,56.3,,,,,,,,,,,
,673.3182363840366,,,,,,,,,,,,,,,
57.38297132805742,,,,,,,,,,,,,,,,
,504.27318603720494,,,,,,,,,,,,,,,
493.34689913678056,,,,,,,,,,,,,,,,
,447.50304722935215,,,,,44383.233203125,0.0003,-8.222991991043092,0.9537487030029297,21436.2578125,-0.00016829443629831075,0.2,0.0,580,0.00062885956,0.0008325576782226562
2.2056627624824072,,,,,,,,,,,,,,,,
,,238000,-16.044766900000003,0.0,63.4,,,,,,,,,,,
,129.49337049638794,,,,,,,,,,,,,,,
272.4476079241126,,,,,,,,,,,,,,,,
,260.96713267327243,,,,,,,,,,,,,,,
131.25848672286585,,,,,,,,,,,,,,,,
,,240000,-19.01551439999999,0.1,71.1,,,,,,,,,,,
,-77.2939404550999,,,,,,,,,,,,,,,
-45.05361782910869,,,,,,,,,,,,,,,,
,14.511362739698617,,,,,,,,,,,,,,,
414.30503497001826,,,,,,,,,,,,,,,,
,177.17646784025018,,,,,,,,,,,,,,,
-131.10590963935059,,,,,,18406.63671875,0.0003,-8.22103042602539,0.9532350897789001,9230.001953125,-0.0016675447521265596,0.2,0.0069580078125,590,0.004683638,0.001711130142211914
,,242000,-239.71513800000002,0.0,78.0,,,,,,,,,,,
,100.77172278820765,,,,,,,,,,,,,,,
123.37183834113395,,,,,,,,,,,,,,,,
,-16.701018192818747,,,,,,,,,,,,,,,
-63.77328304851814,,,,,,,,,,,,,,,,
,-278.58370568960333,,,,,,,,,,,,,,,
393.63419569641843,,,,,,,,,,,,,,,,
,,244000,-220.7758519,0.0,76.9,,,,,,,,,,,
,-275.8888390621154,,,,,,,,,,,,,,,
-140.76364618069104,,,,,,,,,,,,,,,,
,-396.88901256647756,,,,,,,,,,,,,,,
-67.80500138567118,,,,,,,,,,,,,,,,
,899.0786522375614,,,,,23924.249609375,0.0003,-8.216904449462891,0.9525604844093323,11554.9931640625,-0.0019161948701366782,0.2,0.0049560546875,600,0.004622517,0.002121865749359131
,,246000,-212.13420090000005,0.0,70.5,,,,,,,,,,,
40.351633353019594,,,,,,,,,,,,,,,,
,207.3603079749884,,,,,,,,,,,,,,,
-37.572084715503834,,,,,,,,,,,,,,,,
,43.2887098405627,,,,,,,,,,,,,,,
296.62747695952964,,,,,,,,,,,,,,,,
,,248000,-54.5142974,0.0,60.5,,,,,,,,,,,
,180.51614216636864,,,,,,,,,,,,,,,
-143.5009432485705,,,,,,,,,,,,,,,,
,160.2758205590397,,,,,,,,,,,,,,,
220.4652099958858,,,,,,,,,,,,,,,,
,234.0085652616865,,,,,,,,,,,,,,,
371.17215535518915,,,,,,,,,,,,,,,,
,,250000,-402.08474179999996,0.0,77.6,25828.0666015625,0.0003,-8.2133159160614,0.952235996723175,12421.7705078125,-0.0012468190107028931,0.2,0.0055908203125,610,0.004351834,0.0013262629508972168
,475.83379966262066,,,,,,,,,,,,,,,
368.0487444915032,,,,,,,,,,,,,,,,
,-60.107912326476615,,,,,,,,,,,,,,,
116.8268351259987,,,,,,,,,,,,,,,,
,469.2881899604292,,,,,,,,,,,,,,,
-22.21058157315594,,,,,,,,,,,,,,,,
,,252000,-283.9694722,0.0,73.6,,,,,,,,,,,
,464.6667287746078,,,,,,,,,,,,,,,
378.82494158377057,,,,,,,,,,,,,,,,
,155.1561230933532,,,,,,,,,,,,,,,
402.38706820599907,,,,,,,,,,,,,,,,
,156.5121129647829,,,,,,,,,,,,,,,
,,254000,-455.0814447000001,0.0,86.0,35577.167578125,0.0003,-8.21201057434082,0.9521357417106628,18098.943359375,-0.0010655072110239416,0.2,0.0001708984375,620,0.0018705549,0.0019792914390563965
-34.306761733617904,,,,,,,,,,,,,,,,
,123.17366716213436,,,,,,,,,,,,,,,
215.5148225780873,,,,,,,,,,,,,,,,
,229.80928501694387,,,,,,,,,,,,,,,
53.65963456446737,,,,,,,,,,,,,,,,
,297.5890313537363,,,,,,,,,,,,,,,
,,256000,-208.35831310000003,0.0,67.5,,,,,,,,,,,
-16.153374694107622,,,,,,,,,,,,,,,,
,258.3350702335758,,,,,,,,,,,,,,,
-26.3237992693178,,,,,,,,,,,,,,,,
,637.7053217614813,,,,,,,,,,,,,,,
-16.367040085480603,,,,,,,,,,,,,,,,
,236.5485059183442,,,,,,,,,,,,,,,
,,258000,-386.4474001,0.0,90.1,,,,,,,,,,,
,375.02692993775884,,,,,24280.97236328125,0.0003,-8.211396503448487,0.951989471912384,13532.1943359375,-0.0006212948326719924,0.2,0.0,630,0.0010658499,0.00042831897735595703
-271.79478904813044,,,,,,,,,,,,,,,,
,156.18265559590358,,,,,,,,,,,,,,,
290.1924139729322,,,,,,,,,,,,,,,,
925.4602109096155,,,,,,,,,,,,,,,,
,-11.360067236295968,,,,,,,,,,,,,,,
,,260000,-228.90865530000002,0.0,75.8,,,,,,,,,,,
261.0455441532103,,,,,,,,,,,,,,,,
,-30.570890700120792,,,,,,,,,,,,,,,
,22.656135053735348,,,,,,,,,,,,,,,
159.8421752219607,,,,,,,,,,,,,,,,
,386.6615349951502,,,,,,,,,,,,,,,
,,262000,-320.33788050000004,0.0,78.3,,,,,,,,,,,
-26.337723754098153,,,,,,,,,,,,,,,,
,226.69218330573167,,,,,27736.27841796875,0.0003,-8.210507583618163,0.951880931854248,13641.41796875,-0.0010092763928696512,0.2,9.765625e-05,640,0.0016503416,0.00036209821701049805
113.9966012069772,,,,,,,,,,,,,,,,
,174.0564161003949,,,,,,,,,,,,,,,
140.70488995829717,,,,,,,,,,,,,,,,
,,264000,-412.8623186,0.0,86.0,,,,,,,,,,,
,711.0679949533062,,,,,,,,,,,,,,,
402.2667548918888,,,,,,,,,,,,,,,,
,195.5209489191187,,,,,,,,,,,,,,,
295.9748066897675,,,,,,,,,,,,,,,,
,-176.08521336535574,,,,,,,,,,,,,,,
155.05885340649098,,,,,,,,,,,,,,,,
,,266000,-457.90991240000005,0.0,82.5,,,,,,,,,,,
,489.6360252570513,,,,,40823.447265625,0.0003,-8.20986828804016,0.9517660737037659,20969.673828125,-0.00018585143552627415,0.2,0.0,650,0.0008385074,0.00046366453170776367
279.064123172807,,,,,,,,,,,,,,,,
,468.0929292655316,,,,,,,,,,,,,,,
218.81171019672928,,,,,,,,,,,,,,,,
,223.92972878482277,,,,,,,,,,,,,,,
442.52460311022753,,,,,,,,,,,,,,,,
,,268000,-280.4573409,0.0,73.7,,,,,,,,,,,
231.30913734022366,,,,,,,,,,,,,,,,
,-30.48084907928913,,,,,,,,,,,,,,,
233.70172443321903,,,,,,,,,,,,,,,,
,274.28622442905197,,,,,,,,,,,,,,,
,282.62340167949725,,,,,,,,,,,,,,,
-67.37128302565988,,,,,,,,,,,,,,,,
,,270000,-345.29956150000004,0.0,73.7,,,,,,,,,,,
,0.2523528227246089,,,,,25055.2248046875,0.0003,-8.208778524398804,0.951513946056366,13234.4169921875,-0.0008570058562327176,0.2,0.0,660,0.0011124227,6.395578384399414e-05
75.35807493479503,,,,,,,,,,,,,,,,
,456.5372686429952,,,,,,,,,,,,,,,
-103.09759820561712,,,,,,,,,,,,,,,,
,-38.67887733047017,,,,,,,,,,,,,,,
,,272000,-220.25063979999996,0.0,74.9,,,,,,,,,,,
-56.897821795070946,,,,,,,,,,,,,,,,
,143.12773646371002,,,,,,,,,,,,,,,
639.1441112132464,,,,,,,,,,,,,,,,
,457.8932069120374,,,,,,,,,,,,,,,
477.05599704984814,,,,,,,,,,,,,,,,
,,274000,-357.08731520000003,0.0,80.3,,,,,,,,,,,
,227.2204788156559,,,,,,,,,,,,,,,
211.1566196615034,,,,,,,,,,,,,,,,
,22.127839674439006,,,,,30009.6548828125,0.0003,-8.207884311676025,0.9516457915306091,14842.509765625,-0.0005178679712116718,0.2,2.44140625e-05,670,0.0012286444,0.00020951032638549805
-29.106588334307844,,,,,,,,,,,,,,,,
,-55.52049190364251,,,,,,,,,,,,,,,
266.8777183115964,,,,,,,,,,,,,,,,
,,276000,-274.6455131000001,0.0,80.1,,,,,,,,,,,
,-35.839728933051404,,,,,,,,,,,,,,,
206.14600173173602,,,,,,,,,,,,,,,,
,440.46108334718144,,,,,,,,,,,,,,,
470.61422488263617,,,,,,,,,,,,,,,,
,137.96743739888447,,,,,,,,,,,,,,,
459.1840603663335,,,,,,,,,,,,,,,,
,259.7617431745264,,,,,,,,,,,,,,,
,,278000,-459.8471602000001,0.0,86.5,,,,,,,,,,,
207.3024130480414,,,,,,,,,,,,,,,,
,359.56970904919046,,,,,32405.5302734375,0.0003,-8.208879423141479,0.9516959190368652,16593.31640625,-0.0009164969262201339,0.2,2.44140625e-05,680,0.0016215757,0.00015151500701904297
433.2559070034583,,,,,,,,,,,,,,,,
,-19.57618096815518,,,,,,,,,,,,,,,
346.3597679395463,,,,,,,,,,,,,,,,
,,280000,-443.37274749999995,0.0,84.7,,,,,,,,,,,
441.3281443621022,,,,,,,,,,,,,,,,
,73.05616471724491,,,,,,,,,,,,,,,
,458.41669822336763,,,,,,,,,,,,,,,
248.48919074007148,,,,,,,,,,,,,,,,
,397.89281251589375,,,,,,,,,,,,,,,
522.384076968995,,,,,,,,,,,,,,,,
,245.42772341892797,,,,,,,,,,,,,,,
,,282000,-578.7992030000001,0.0,85.3,,,,,,,,,,,
-41.77943498232425,,,,,,,,,,,,,,,,
,308.2629276149186,,,,,38960.673046875,0.0003,-8.208785724639892,0.9517157673835754,19491.189453125,-0.0007721306115854532,0.2,0.0,690,0.001018666,0.0006088614463806152
337.11914750682,,,,,,,,,,,,,,,,
,365.330315205728,,,,,,,,,,,,,,,
497.5152570117958,,,,,,,,,,,,,,,,
,235.7380627844591,,,,,,,,,,,,,,,
,,284000,-236.88194800000002,0.0,61.8,,,,,,,,,,,
-119.90712044867777,,,,,,,,,,,,,,,,
,267.24728588922386,,,,,,,,,,,,,,,
-106.8905250318376,,,,,,,,,,,,,,,,
,198.43936063395762,,,,,,,,,,,,,,,
267.26565407372027,,,,,,,,,,,,,,,,
,127.97305341996056,,,,,,,,,,,,,,,
,,286000,-408.1248496,0.0,78.2,,,,,,,,,,,
480.05264957930495,,,,,,,,,,,,,,,,
,474.8471481811318,,,,,,,,,,,,,,,
10.057268633563904,,,,,,33026.6755859375,0.0003,-8.208692693710328,0.9516236186027527,15296.716796875,-0.000800184952095151,0.2,0.0,700,0.0008625786,0.0006738901138305664
,165.6984078456497,,,,,,,,,,,,,,,
486.6394970370723,,,,,,,,,,,,,,,,
,227.66628409104615,,,,,,,,,,,,,,,
,,288000,-343.4940805,0.0,77.4,,,,,,,,,,,
695.0224184796557,,,,,,,,,,,,,,,,
,14.084676104656305,,,,,,,,,,,,,,,
478.41324162466753,,,,,,,,,,,,,,,,
,80.49122666749683,,,,,,,,,,,,,,,
-38.08280357484734,,,,,,,,,,,,,,,,
,,290000,-611.2534036,0.0,93.5,,,,,,,,,,,
,438.3350170937254,,,,,,,,,,,,,,,
245.0381906806509,,,,,,,,,,,,,,,,
,233.10364120629728,,,,,34212.85556640625,0.0003,-8.20786647796631,0.9514999389648438,16441.51953125,8.686226210556925e-05,0.2,0.0,710,0.00014031299,0.00045931339263916016
-29.242628513005183,,,,,,,,,,,,,,,,
,288.9770574141945,,,,,,,,,,,,,,,
206.72241183240573,,,,,,,,,,,,,,,,
,,292000,-447.9019463000001,0.0,75.8,,,,,,,,,,,
,243.37253776956942,,,,,,,,,,,,,,,
489.17810476890463,,,,,,,,,,,,,,,,
,435.72876753134113,,,,,,,,,,,,,,,
34.83633942584659,,,,,,,,,,,,,,,,
,418.1202375164823,,,,,,,,,,,,,,,
255.14272809668893,,,,,,,,,,,,,,,,
,,294000,-282.8778001,0.0,76.7,,,,,,,,,,,
,-179.49658736112258,,,,,,,,,,,,,,,
-76.1727655442228,,,,,,,,,,,,,,,,
,258.42444770379035,,,,,,,,,,,,,,,
272.92884813396006,,,,,,30072.781640625,0.0003,-8.207047033309937,0.9513411521911621,12674.2783203125,-0.0013802075874991715,0.2,0.0005126953125,720,0.0019996024,0.00047791004180908203
,-25.878007466008235,,,,,,,,,,,,,,,
-19.756830993159205,,,,,,,,,,,,,,,,
,,296000,-407.37770439999997,0.0,78.4,,,,,,,,,,,
,-61.35672936777577,,,,,,,,,,,,,,,
410.2521426882473,,,,,,,,,,,,,,,,
,-24.534750051192358,,,,,,,,,,,,,,,
-295.4591010658328,,,,,,,,,,,,,,,,
,-62.30245421507491,,,,,,,,,,,,,,,
233.41190287824938,,,,,,,,,,,,,,,,
,,298000,-373.8212141,0.0,83.1,,,,,,,,,,,
,212.65370618201877,,,,,,,,,,,,,,,
-58.476987452337696,,,,,,,,,,,,,,,,
,-107.16992065220938,,,,,,,,,,,,,,,
212.22882518811997,,,,,,18088.11162109375,0.0003,-8.202938461303711,0.9497664570808411,9751.392578125,-0.0022244899650104345,0.2,0.0422607421875,730,0.003435208,0.0006570816040039062
,168.43644694734633,,,,,,,,,,,,,,,
676.983385382963,,,,,,,,,,,,,,,,
,,300000,-417.68801599999995,0.0,83.6,,,,,,,,,,,
,210.67631776178922,,,,,,,,,,,,,,,
-171.23666867112541,,,,,,,,,,,,,,,,
,-184.39968815375104,,,,,,,,,,,,,,,
-67.07393151166808,,,,,,,,,,,,,,,,
,462.78120727517927,,,,,,,,,,,,,,,
453.5915339889543,,,,,,,,,,,,,,,,
