#{"t_start": 1700570841.3015141, "env_id": "None"}
r,l,t
-183.014721,102,12.309987
-210.050146,102,12.856248
-160.306459,102,13.372556
-171.753632,102,13.906002
-166.570556,102,14.423724
-112.606413,102,14.943531
-116.770173,102,15.463107
-245.757783,102,16.009043
-178.599134,102,16.526904
-161.304031,102,17.047792
-142.532909,102,17.570886
-166.379921,102,18.088096
-223.054822,102,18.60545
-164.58688,102,19.126462
-140.458835,102,19.647799
-112.720311,102,20.165939
-212.481816,102,20.710773
-201.757165,102,21.2334
-129.892687,102,21.758257
-189.589467,1-2-348.159758,102,67.386422-1-605.829933,102,67.982307-425.269981,102,68.565696
-8-219.335629,102,69.19319-15-335.846372,102,69.78456-2-176.901388,102,70.407672-9-195.086823,102,71.002292-6-292.095125,102,71.59316-25-214.828515,102,72.20040-62-254.885713,102,72.80607-15-866.412561,102,73.43602-39-313.131115,102,74.09227-93-454.510663,102,74.6882-520-670.993846,102,75.2872-252-303.230364,102,75.901-446.-532.526267,102,76.503-230.-263.775521,102,77.09-589.7-300.803692,102,77.69-736.1-238.432708,102,78.28-142.3-342.444219,102,78.88-144.6-458.83146,102,135.427-154.873917,102,136.030584
-354.074787,102,136.610065
-212.249522,102,137.214142
-558.379581,102,137.795332
-1090.647445,102,138.382105
-260.655792,102,138.982443
-293.215942,102,139.591341
-235.861496,102,140.175358
-102.327448,102,140.756096
-660.910252,102,141.378777--659.040299,102,141.988777
-189.930213,102,142.585299
-146.116558,102,143.187299
-180.91932,102,143.797298
-301.752589,102,144.3963
-143.811129,102,144.995805
-279.913315,102,145.606315
-490.609084,102,146.202314
-248.653154,102,146.814316
-409.588509,102,199.947819
-255.538425,102,200.564862
-358.846595,102,201.175863--564.734963,102,201.781987--895.52162,102,202.397986
-431.754259,102,203.013029
-394.410837,102,203.607175
-148.116146,102,204.194704
-438.395237,102,204.829888
-244.300434,102,205.426416
-135.752348,102,206.021117
-263.916041,102,206.627178
-383.844295,102,207.223209
-131.906042,102,207.891078
-502.595229,102,208.502387
-307.921465,102,209.122363
-507.794882,102,209.736129
-222.147212,102,210.327997
-601.394122,102,210.942513
-234.686522,102,211.528575
-482.164202,102,264.42349
-178.69562,102,265.013002
-188.213327,102,265.616535
-174.096612,102,266.202068
-277.898206,102,266.834067
-340.834701,102,267.421158
-402.695206,102,268.007221
-582.142404,102,268.610265
-372.216244,102,269.204822--293.453126,102,269.827762--354.409774,102,270.415752--498.662916,102,270.984757--305.644276,102,271.586452--753.204284,102,272.168401--217.599285,102,272.773769
-418.629346,102,273.370754--409.137023,102,273.983739
-621.826391,102,274.582744--157.913645,102,275.164733--591.721029,102,275.76078
-334.510567,102,327.922928
