#{"t_start": 1700641147.756903, "env_id": "None"}
r,l,t
1259.863008,56,45.540344
1241.814648,53,45.797344
1233.832704,58,46.073347
1185.082335,48,46.308345
1290.774646,64,46.611344
1168.43019,41,46.826345
1206.988895,49,47.067347
1174.298492,40,47.271344
174.351644,71,47.604347
1279.709393,64,47.900344
213.212202,71,48.230344
1220.8507,59,48.520344
1164.964146,47,48.758344
1269.227188,58,49.029345
1315.143809,71,49.350344
1273.491552,58,49.636345
1229.154431,50,49.876344
1152.814395,39,50.076344
1259.216322,58,50.346344
1256.151777,60,50.636345
1286.923837,67,50.942347
1220.803456,54,51.196345
1185.059143,44,51.418345
1300.309777,67,51.724344
1136.591315,33,51.898345
1279.849396,62,52.198345
1134.784179,33,52.377345
1254.008226,62,52.669344
199.732661,80,53.027344
1269.195681,58,53.319345
1132.851322,33,53.499344
1153.564893,38,53.697345
1289.865953,68,54.007344
1274.953749,62,54.297344
1315.687951,67,54.626344
1184.535645,43,54.887345
1158.137439,39,55.128344
189.368363,66,55.492344
166.716119,53,55.800344
1213.114765,51,56.089345
176.102057,67,56.449344
1239.473014,54,56.764344
84.303068,42,57.012345
237.323453,65,57.397345
1177.523565,41,57.628344
200.953399,58,57.953345
151.647398,51,58.252346
187.17336,59,58.580344
1204.98597,46,58.849344
214.629937,74,59.279345
227.941262.915099,72,77.553908
1143.248384,38,78.113907
1226.879233,75,79.18452
1166.060872,49,79.912101561253.378467,64,80.833661
1160.190122,39,81.3991227.1250.506397,56,82.2071233.1269.865883,66,83.1381227.1223.83655,67,84.169454
1223.213134,52,84.892085
1137.847904,39,85.423644
141.31250.158796,65,86.971197.71291.471716,62,87.851227.91142.237947,60,88.691125.362.76264,55,81340.411191215.11227.749538,61,891161273.38661,67,91.195607-41259.358439,71,92.274166
1304.342381,67,93.202328
43.377773,42,96.791003
1219.695285,54,97.610638
1110.948745,38,98.116322121180.850638,62,98.981844161200.590646,47,99.6398412211961196.462983,53,99.13081208.934097,46,11215.851116121243.868002,661212.411283121211.208236,57,102.4212431238.293437,55,11297.5512381187.765824,57,104.35071141214.294544,78,105.509319
1294.240085,71,106.605921
1168.173403,51,107.302481
1209.102884,54,108.079051121219.939039,57,108.94517512115.078543,55,109.72161611205.692845,59,110.578112111255.487811,67,111.536713111173.474689,50,112.263311261043.460504,54,113.05081287.881214,62,113.49688111731234.414548,65,114.713112161316.595134,72,115.760012051198.086794,52,116.501261.71256.858291,63,117.41220.381218.59466,61,118.371196.21288.339105,70,119.441264.01176.078177,63161.929684,58,121.880477
1273.853987,56,122.192478
156.906686,59,122.536477
1239.048709,56,122.865477
195.72286,73,123.299478
166.8077821171.158796,41,157.045523
1308.085879,67,158.070384
1210.847672,58,161.889074
1176.610129,48,162.604629
1244.675695,62,163.50423
1232.793524,63,164.443787
