reward/env_0,reward/env_1,train/loss,train/std,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward
,-362.4177396130914,,,,,,,,,,,,,,,
-263.0014969966671,,,,,,,,,,,,,,,,
,-256.4108604516761,,,,,,,,,,,,,,,
-444.69968519670226,,2537.5185546875,0.9758143424987793,0.0059329215,0.04765625,0.0003,-1.9550323486328125e-05,110,0.2,-8.372238355875016,-0.005005634199187625,5102.565440368652,,,,
,-192.06634530358343,,,,,,,,,,,,,,,
-123.9393879899141,,,,,,,,,,,,,,,,
,-303.5049608434723,,,,,,,,,,,,,,,
-59.398230410144876,,,,,,,,,,,,,,,,
,-178.92490338855515,,,,,,,,,,,,,,,
,,,,,,,,,,,,,48000,0.17,92.54,83.80576838
-469.92279244485337,,,,,,,,,,,,,,,,
,-55.2718706197928,,,,,,,,,,,,,,,
152.04835798962253,,5152.83984375,0.966290295124054,0.010171143,0.113623046875,0.0003,-8.344650268554688e-06,120,0.2,-8.328943127393723,-0.0008248774538515136,13611.535470581055,,,,
,-218.8425651238437,,,,,,,,,,,,,,,
-297.4284129740618,,,,,,,,,,,,,,,,
,-532.3981197780934,,,,,,,,,,,,,,,
-187.82325500949315,,,,,,,,,,,,,,,,
,-242.50812831058428,,,,,,,,,,,,,,,
-537.6405630858081,,,,,,,,,,,,,,,,
,-288.8600531319064,,,,,,,,,,,,,,,
-179.64149360034372,,1968.9033203125,0.9642549157142639,0.0066961446,0.0658203125,0.0003,-1.2040138244628906e-05,130,0.2,-8.30190243124962,-0.00637924244365422,7006.064569091797,,,,
,,,,,,,,,,,,,54000,0.06,98.51,-105.26844706000001
,-286.3821427406833,,,,,,,,,,,,,,,
-371.16872089782566,,,,,,,,,,,,,,,,
,-331.06140793337545,,,,,,,,,,,,,,,
-178.58706184454462,,,,,,,,,,,,,,,,
,-234.33783098680925,,,,,,,,,,,,,,,
-241.07887155453636,,,,,,,,,,,,,,,,
,-338.949649123337,,,,,,,,,,,,,,,
,315.742979836154,2251.398681640625,0.9628819823265076,0.0071803574,0.0729248046875,0.0003,-2.014636993408203e-05,140,0.2,-8.289947456121444,-0.006192181742517277,6944.10188446045,,,,
-476.4404123000181,,,,,,,,,,,,,,,,
,-241.44919870061955,,,,,,,,,,,,,,,
19.52856431792714,,,,,,,,,,,,,,,,
,-213.41538568455636,,,,,,,,,,,,,,,
-159.08380836039194,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,60000,0.1,91.34,-155.74246378
,-15.244629227171819,,,,,,,,,,,,,,,
-182.93780797024255,,,,,,,,,,,,,,,,
,330.06716275885844,7769.29150390625,0.9613306522369385,0.011112664,0.2513671875,0.0003,-5.125999450683594e-06,150,0.2,-8.291333150863647,0.00028360573342069986,17838.966864013673,,,,
-119.85929463463458,,,,,,,,,,,,,,,,
,-229.81262935212484,,,,,,,,,,,,,,,
-190.48528693065734,,,,,,,,,,,,,,,,
,268.8770264231061,,,,,,,,,,,,,,,
159.97030694489303,,,,,,,,,,,,,,,,
,49.98167498344709,,,,,,,,,,,,,,,
-300.9778247197454,,,,,,,,,,,,,,,,
,-267.6585247862064,7267.11474609375,0.9608334898948669,0.0071320017,0.1455322265625,0.0003,-7.033348083496094e-06,160,0.2,-8.27548616528511,0.0005420086075901054,15377.088580322266,,,,
-430.295342686196,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,66000,0.15,82.87,66.81498158000001
,-429.46223891347364,,,,,,,,,,,,,,,
-136.37588845736477,,,,,,,,,,,,,,,,
,-199.7878304573274,,,,,,,,,,,,,,,
-444.75362656497146,,,,,,,,,,,,,,,,
,-126.9332287838693,,,,,,,,,,,,,,,
123.6412912679904,,,,,,,,,,,,,,,,
,-127.55696283621364,,,,,,,,,,,,,,,
-325.55428236272206,,9284.103515625,0.9601286053657532,0.005704759,0.056591796875,0.0003,-5.9604644775390625e-06,170,0.2,-8.269624733924866,-0.003994000575039536,15126.704888916016,,,,
,-109.72080804422735,,,,,,,,,,,,,,,
-108.94697474299753,,,,,,,,,,,,,,,,
,105.60077618999124,,,,,,,,,,,,,,,
12.843905556004302,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,72000,0.14,85.76,90.60154409
,-105.98347907166854,,,,,,,,,,,,,,,
-199.1059011417786,,,,,,,,,,,,,,,,
,-440.984996020817,,,,,,,,,,,,,,,
-73.36347007917797,,6683.296875,0.9624843597412109,0.010488987,0.15400390625,0.0003,-7.152557373046875e-07,180,0.2,-8.273203617334365,0.0014829595747869462,7068.059477233886,,,,
,-168.34982497985843,,,,,,,,,,,,,,,
-485.5760941460809,,,,,,,,,,,,,,,,
,-423.7010190361184,,,,,,,,,,,,,,,
-755.9904476900012,,,,,,,,,,,,,,,,
,-602.0568854301602,,,,,,,,,,,,,,,
-366.299826575007,,,,,,,,,,,,,,,,
,-227.117015851674,,,,,,,,,,,,,,,
-227.2034678556742,,,,,,,,,,,,,,,,
,,10547.1416015625,0.962935209274292,0.004886201,0.0724853515625,0.0003,-4.5299530029296875e-06,190,0.2,-8.286137241125108,0.0033610907703405246,14813.17385559082,78000,0.03,86.91,-161.65871180000002
,-505.1728762938425,,,,,,,,,,,,,,,
-114.02089865705179,,,,,,,,,,,,,,,,
,-432.28040366653033,,,,,,,,,,,,,,,
-243.99351183676148,,,,,,,,,,,,,,,,
,-349.3453016286918,,,,,,,,,,,,,,,
-131.88073656970693,,,,,,,,,,,,,,,,
,-264.1295916405948,,,,,,,,,,,,,,,
-3.7534373402274808,,,,,,,,,,,,,,,,
-258.6993580581435,,5369.296875,0.9626786112785339,0.005313811,0.0175537109375,0.0003,-5.602836608886719e-06,200,0.2,-8.285532754659652,-0.0036034609962371177,9344.932000732422,,,,
,-174.9563841552284,,,,,,,,,,,,,,,
-81.69999636604173,,,,,,,,,,,,,,,,
,-87.42129266469237,,,,,,,,,,,,,,,
,,,,,,,,,,,,,84000,0.12,89.31,45.97179134
-287.1746832053598,,,,,,,,,,,,,,,,
,-290.9194086666769,,,,,,,,,,,,,,,
-333.44557340683366,,,,,,,,,,,,,,,,
,-301.78046764262365,,,,,,,,,,,,,,,
,126.16588990249468,4902.02685546875,0.962999165058136,0.0047025583,0.0090576171875,0.0003,-1.5497207641601562e-06,210,0.2,-8.285885161161422,-0.002311712822120171,9078.30005645752,,,,
-176.21536208016641,,,,,,,,,,,,,,,,
-251.60860408062186,,,,,,,,,,,,,,,,
,-406.6953618143863,,,,,,,,,,,,,,,
,-264.3328633736026,,,,,,,,,,,,,,,
-57.52880409605052,,,,,,,,,,,,,,,,
,27.172778870724965,,,,,,,,,,,,,,,
-343.3817737313253,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,90000,0.2,75.6,152.46882524999998
,-203.49221014593937,7212.08642578125,0.9625449180603027,0.007837102,0.093896484375,0.0003,-4.76837158203125e-07,220,0.2,-8.288615590333938,-0.0033078373715397904,14796.883578491212,,,,
-106.84787111100566,,,,,,,,,,,,,,,,
,-203.89533530345602,,,,,,,,,,,,,,,
-214.31864433151023,,,,,,,,,,,,,,,,
,17.062257588986174,,,,,,,,,,,,,,,
-150.29315406026836,,,,,,,,,,,,,,,,
,-96.10377635211023,,,,,,,,,,,,,,,
-218.469557652393,,,,,,,,,,,,,,,,
,96.29090702164248,5189.48681640625,0.9600912928581238,0.0134897195,0.2072998046875,0.0003,-2.0265579223632812e-06,230,0.2,-8.271259152889252,0.003145620792929549,11911.25812072754,,,,
134.45422102260713,,,,,,,,,,,,,,,,
,-348.32561961121087,,,,,,,,,,,,,,,
-95.95299745062071,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,96000,0.5,71.33,567.2525723699999
,-216.81392599267912,,,,,,,,,,,,,,,
-204.03894544366742,,,,,,,,,,,,,,,,
,-33.95570177699487,,,,,,,,,,,,,,,
-14.970855758784944,,,,,,,,,,,,,,,,
,-105.68590215297097,,,,,,,,,,,,,,,
