#{"t_start": 1700644600.068403, "env_id": "None"}
r,l,t
1274.319069,59,46.613
172.005791,56,46.878
1233.870449,61,47.164
1194.130473,51,47.408
202.588624,66,47.708
1182.210783,44,47.93
1226.814142,53,48.184
1180.448052,42,48.392
234.755723,73,48.708001
183.557399,69,49.022
243.670266,73,49.347002
1211.589714,61,49.64
1168.020598,50,49.887002
189.02117,64,50.181
210.368499,74,50.514
192.669742,61,50.806
159.900596,54,51.061
1167.275363,42,51.274
212.779548,62,51.553
170.563693,64,51.859
195.735106,70,52.174
1234.722244,57,52.436
1200.843591,48,52.67
211.595555,70,52.989
53.380127,34,53.199
184.798929,59,53.519
1144.634403,36,53.711001
1240.788894,65,54.009
179.247027,83,54.382
1273.767223,61,54.685
1141.840155,36,54.878002
1171.125656,42,55.092
173.565674,70,55.407
196.155294,64,55.697
231.045324,69,56.03
1194.778696,46,56.262
1169.136059,42,56.475
226.094928,69,56.78
173.558343,57,57.053
1238.510815,56,57.33
180.792038,70,57.646
1252.620066,57,57.933002
1181.235696,46,58.161
230.534862,70,58.515002
1156.209507,32,58.69
204.466966,62,58.986
168.806549,57,59.263
213.860974,63,59.548002
1209.06966,49,59.783
199.581831,77,60.154
214.858038,71,60.509
1213.232498,47,60.734
1227.072939,53,60.99500159.355736,58,77.085999
1290.267101,77,78.273
1148.798834,49,78.953
1270.180434,61,79.799
1124.879972,49,80.512
123.970865,62,81.430001
1295.000782,75,82.520999
1234.955086,59,83.355001
1329.593237,69,84.407
1248.513273,51,85.140001
1164.865673,50,85.869001
1196.190909,54,86.722999
1158.67971,52,87.457
1193.356912,45,88.045002
187.095455,61,89.009002
1128.273631,63,89.891065
1313.403178,69,90.839001
187.470941,61,91.676001
1156.696249,46,92.345999
82.240767,45,95.971879
1210.105658,63,96.863878
193.756264,61,97.72188
1177.284738,43,98.380879
1264.892508,60,99.287881
1155.041097,46,99.949879
1249.789821,53,100.70788
1198.242945,54,101.542879
149.663154,63,102.431879
65.832478,49,103.136881
1181.092814,62,104.05488
1248.570886,56,104.813879
1169.174131,60,105.671879
1262.296997,71,106.809879
1157.945564,42,107.345879
1203.236158,75,108.483879
1168.14149,37,109.04388
1245.69069,66,109.98988
1169.552442,47,110.689884
1220.991655,52,111.42188
79.573762,52,112.14188
1246.003538,60,112.986879
1251.369519,67,113.900881
1234.189266,63,120.843879
199.515091,60,121.144881
164.621579,64,121.458879
1253.362832,59,121.752879
186.03775,77,122.126921
1233.114952,63,122.420879
1114.807006,32,122.597879
107.507224,58,122.865879
183.696566,61,123.15788
218.727374,70,123.47781294.58794,62,153.443879
155.469981,58,154.306879
1214.984481,45,154.941879
1291.738048,80,159.066879
1245.85283,54,159.816879
